season,benzene(ug/mg3),NO,NO2,tolune,Nox,O3,pm2.5,pm10,temperature,wind direcction,relative humidity,wind speed,ambient temp
winter,3.04,250.71,112.15,7.75,442.3,22.44,469.61,742.25,17.52,157.76,65.5,0.61,18.65
winter,2.28,209.9,95.16,4.03,371.36,12.09,519.68,727.35,15.23,237.73,67.18,1.11,17.44
winter,0.75,151.82,85.5,1.01,283.39,14.22,169.14,476.08,14.7,277.08,52.49,1.86,16.95
winter,1.3,267.57,108.85,1.04,462.4,15.1,280.7,519.8,14.98,209.68,57.44,0.95,16.99
winter,1.87,400.27,125.3,6.28,653.32,39.62,408.91,681.16,15.79,182.47,59.57,0.62,17.27
winter,1.35,168,93.15,6.15,312.42,25.69,289.21,560.1,17.33,97.37,58.9,1.6,17.55
winter,0.81,63.31,81.95,1.44,159.49,15.06,312.28,510.49,16.82,167.47,63.89,1.76,17.9
winter,0.62,98.16,69.33,0.65,195.81,10.74,258.55,475.71,14.53,246.92,70.58,0.95,15.37
winter,0.43,98.76,59.14,0.71,187.52,10.88,183.25,344.5,12.38,280.17,70.78,1.31,12.72
winter,0.34,75.9,60.6,0.48,157.64,13.65,143.24,299.33,12.65,281.5,65.19,1.68,13.14
winter,0.61,81.51,69.2,0.67,172.97,15.16,200.8,386.68,12.84,151,61.2,1.15,13.56
winter,1.33,301.02,96.74,1.79,497.27,14.01,339.6,672.07,11.92,197.46,65.33,0.54,13.45
winter,0.75,105.51,67.62,0.97,204.08,9.79,323.85,566.72,10.81,241.41,76.73,0.7,11.52
winter,0.43,89.06,73.91,0.63,187.5,10.61,307.65,531.77,10.2,240.9,71.41,0.97,11.56
winter,0.53,84.65,69.85,0.66,177.81,11.7,235.53,422.96,10.58,230.72,65.68,1.18,11.17
winter,10.93,66.98,73.52,19.58,156.97,13.54,300.89,466.73,10.59,118.46,71.67,1.34,10.3
winter,37.35,123.87,68.47,105.7,230.17,15.71,360.79,544.08,13.03,131.08,67.47,1.03,12.64
winter,39.61,87.29,111.41,59.48,218.47,10.74,388.06,586.09,8.91,235,74.05,0.81,10.79
winter,31,58.86,79.39,54.3,151.12,10.81,275.88,510.62,9.92,225.68,64.42,1.01,10.94
winter,31.33,168.42,,47.21,317.6,12.58,374.62,569.33,13.3,115.86,67.28,1.23,13.17
winter,35.19,275.8,120.94,109.93,484.38,15.16,338.67,532.39,16.07,120.1,60.57,1.02,16.17
winter,41.98,330.54,124.23,97.87,562.08,10.51,354.83,652.46,14.32,225.24,56.69,0.85,17
winter,49.49,292.22,117.1,141.59,503.39,10.58,393.45,761.23,21.67,186.34,57.49,0.73,18.59
winter,40.59,109.96,98.65,111.7,237.9,22.36,344.57,581.17,16.78,184.25,60.81,0.85,20.09
winter,28.74,207.07,98.29,51.31,370.4,12.01,114.42,276.57,15.05,286.47,46.1,1.64,15.66
winter,26.03,295.35,116.81,49.46,494.62,31.42,144.47,366.11,14.2,269.79,42.93,1.41,17.03
winter,41.15,401.73,99.74,83.87,624.37,27.42,262.2,449.07,14.28,249.1,45.83,0.84,17.26
winter,58.73,41.67,60.84,189.73,111.14,23.33,417.96,487.63,14.36,144.9,61.85,1.19,13.95
winter,19.06,122.03,74.29,26.12,232.59,16.77,167.52,254.05,14.18,170.81,58.76,1.29,18.26
winter,24.04,180.44,100.09,47.11,334.46,18,117.18,214.24,16,258.37,58.45,1.04,17.1
winter,29.72,304.56,124.34,63.23,521.25,22.52,172.8,276.22,16.88,273.39,56.29,1.06,18.22
winter,34.99,109.23,91.77,97.65,230.91,14.5,259.32,315.87,15.32,183.32,56.24,0.75,18.68
winter,25.75,101.95,87.43,130.74,217.12,23.14,217.94,287.12,15.34,121.39,52.07,1.66,18.97
winter,25.07,55.62,64.38,47.38,133.27,20.1,195.95,331.95,16,152.49,46.83,1.04,18.65
winter,19.05,74.12,83.09,30.09,175.28,17.23,144.72,321.17,18.78,187.94,39.82,1.86,20.39
winter,16.47,67.03,76.05,39.91,159.3,21.03,89.88,219.75,18.42,262.52,40.53,1.18,21.5
winter,20.53,63.98,76.23,36.78,155.26,19.73,123.25,202.09,16.85,240.98,47.34,1.03,18.42
winter,23.11,72.42,90.1,39.2,179.18,17.03,140.72,178.12,12.96,235.88,47.79,0.92,16.86
winter,25.17,109.66,78.59,50.96,219.77,19.27,131.96,212.37,18.67,237.22,43.74,0.99,19.52
winter,31.28,131.59,81.86,78.18,252.6,9.24,161.68,197.94,16.48,249.66,58.57,1.14,19.7
winter,35.33,249.52,79.6,76.26,411.7,9.22,215.13,294.01,14.14,248.12,56.51,0.88,22.94
winter,37.08,67.91,55.17,149.34,141.82,13.91,192.62,276.5,17.83,238.63,60.01,1.32,23.64
winter,12.95,57.53,48.77,26.39,122.01,47.94,68.91,270.78,20.45,283.29,42.43,2.77,22.79
winter,15.96,187.65,123.19,12.67,366.06,47.12,95.13,118.19,21.88,285.72,53.64,2.5,16.71
winter,37.21,93.86,80.03,192.97,199.49,5.19,79,351.26,19.11,78.19,44.44,1.09,21.27
winter,23.22,175.85,95.91,59.23,325.62,68.23,176.66,288.16,18.84,106.37,42.62,1.95,21.78
